gameid,date,dh,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason
TEX197304250,04/25/1973,0,herzw101,Whitey Herzog,TEX,M,flahr901,Red Flaherty,7,Call on Field
DET197304280,04/28/1973,0,martb105,Billy Martin,DET,M,goetr901,Russ Goetz,7,Balls and Strikes
SFN197305010,05/01/1973,0,virdb101,Bill Virdon,PIT,M,harvd901,Doug Harvey,9,Balls and Strikes
MIL197305020,05/02/1973,0,bands101,Sal Bando,OAK,P,morgh901,Hank Morgenweck,6,Call on Field
MIL197305020,05/02/1973,0,willd104,Dick Williams,OAK,M,morgh901,Hank Morgenweck,6,Call on Field
SDN197305030,05/03/1973,0,cruzj001,Jose Cruz,SLN,P,engeb901,Bob Engel,2,Call on Field
PHI197305040,05/04/1973,0,ozard801,Danny Ozark,PHI,M,pelec901,Chris Pelekoudas,X,Call on Field
PHI197305040,05/04/1973,0,mathe101,Eddie Mathews,ATL,M,mcshj901,John McSherry,X,Call on Field
SFN197305061,05/06/1973,1,aguih101,Hank Aguirre,CHN,C,donaa901,Augie Donatelli,4,Aggression
SFN197305061,05/06/1973,1,lockw101,Whitey Lockman,CHN,M,donaa901,Augie Donatelli,4,Aggression
SFN197305061,05/06/1973,1,pappm101,Milt Pappas,CHN,P,donaa901,Augie Donatelli,4,Aggression
SFN197305061,05/06/1973,1,barrj101,Jim Barr,SFN,P,donaa901,Augie Donatelli,4,Fighting
SDN197305080,05/08/1973,0,lockw101,Whitey Lockman,CHN,M,craws901,Shag Crawford,X,Call on Field
SFN197305100,05/10/1973,0,mccow101,Willie McCovey,SFN,P,tatat901,Terry Tata,5,Call on Field
DET197305130,05/13/1973,0,nortj101,Jim Northrup,DET,P,lucir901,Ron Luciano,6,Call on Field
KCA197305140,05/14/1973,0,rojac101,Cookie Rojas,KCA,P,ricej901,John Rice,4,Call on Field
TEX197305142,05/14/1973,2,monzd101,Dan Monzon,MIN,P,umonf901,Frank Umont,X,Harrassment
HOU197305150,05/15/1973,0,helmt101,Tommy Helms,HOU,P,froeb901,Bruce Froemming,9,Call on Field
DET197305160,05/16/1973,0,kaske101,Eddie Kasko,BOS,M,flahr901,Red Flaherty,X,Call on Field
DET197305160,05/16/1973,0,yastc101,Carl Yastrzemski,BOS,P,flahr901,Red Flaherty,X,Call on Field
OAK197305180,05/18/1973,0,nortb101,Bill North,OAK,P,denkd901,Don Denkinger,8,Fighting
PHI197305192,05/19/1973,2,ozard801,Danny Ozark,PHI,M,engeb901,Bob Engel,3,Balls and Strikes
CIN197305202,05/20/1973,2,gaglp101,Phil Gagliano,CIN,P,tatat901,Terry Tata,1,Harrassment
HOU197305200,05/20/1973,0,fox-c101,Charlie Fox,SFN,M,colon901,Nick Colosi,7,Balls and Strikes
CIN197305230,05/23/1973,0,may-l101,Lee May,HOU,P,burkk101,Ken Burkhart,9,Balls and Strikes
DET197305250,05/25/1973,0,martb105,Billy Martin,DET,M,mccol901,Larry McCoy,X,Call on Field
TEX197305300,05/30/1973,0,herzw101,Whitey Herzog,TEX,M,frana901,Art Frantz,7,Aggression
KCA197305310,05/31/1973,0,weave801,Earl Weaver,BAL,M,umonf901,Frank Umont,8,Call on Field
